Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,30,5,"H(10) H(11) R(13) R(15) R(16)",0.4835,0.6888,0.5554,1.7277,no
mol_2,46,5,"H(6) H(7) R(10) R(11) R(12)",1.0000,1.0000,1.0000,3.0000,yes
