Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,30,5,"A(1) H(10) H(11) R(13) R(16)",0.4644,0.8719,0.5550,1.8912,no
mol_2,46,5,"A(2) H(6) H(7) R(10) R(12)",1.0000,1.0000,1.0000,3.0000,yes
