Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,34,4,"A(3) H(10) R(13) R(16)",0.8221,0.9094,0.5264,2.2579,no
mol_2,28,4,"A(3) H(6) R(10) R(12)",1.0000,1.0000,1.0000,3.0000,yes
