Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,43,5,"A(3) H(10) R(13) R(15) R(16)",1.0000,1.0000,1.0000,3.0000,yes
mol_2,28,5,"A(3) H(5) R(10) R(11) R(12)",0.8489,0.8169,0.5415,2.2073,no
