Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,44,4,"H(10) R(13) R(15) R(16)",0.8731,0.9312,0.5503,2.3546,no
mol_2,28,4,"H(6) R(10) R(11) R(12)",1.0000,1.0000,1.0000,3.0000,yes
