Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,38,5,"A(3) H(10) R(13) R(15) R(16)",1.0000,1.0000,1.0000,3.0000,yes
mol_2,42,5,"A(3) H(5) R(10) R(11) R(12)",0.8481,0.8336,0.5435,2.2252,no
