Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,37,4,"A(3) H(10) R(13) R(16)",0.8566,0.8881,0.5372,2.2818,no
mol_2,18,4,"A(3) H(5) R(10) R(12)",1.0000,1.0000,1.0000,3.0000,yes
