Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,3,5,"A(2) A(3) H(7) R(8) R(10)",0.9162,1.0000,0.6379,2.5541,no
mol_2,11,5,"A(3) A(4) H(7) R(10) R(11)",1.0000,1.0000,1.0000,3.0000,yes
