Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,16,5,"A(3) H(6) H(7) R(8) R(10)",1.0000,1.0000,1.0000,3.0000,yes
mol_2,24,5,"A(4) H(6) H(7) R(10) R(11)",0.6839,0.9584,0.5661,2.2084,no
