Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,15,4,"A(1) A(3) H(7) R(10)",0.9742,0.9961,0.6427,2.6129,no
mol_2,47,4,"A(1) A(4) H(7) R(11)",1.0000,1.0000,1.0000,3.0000,yes
