Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,15,4,"A(2) H(7) R(8) R(10)",0.9153,1.0000,0.6357,2.5510,no
mol_2,47,4,"A(3) H(7) R(10) R(11)",1.0000,1.0000,1.0000,3.0000,yes
