Ligand_Name,Conf_Index,Num_Sites_Matched,Matched_Ligand_Sites,Site_Score,Vector_Score,Volume_Score,Fitness,Ref_Ligand
mol_1,16,5,"A(1) A(2) A(3) H(7) R(10)",0.9751,0.9971,0.6431,2.6153,no
mol_2,48,5,"A(1) A(3) A(4) H(7) R(11)",1.0000,1.0000,1.0000,3.0000,yes
