Generic code,IC50,new IC50 [CI95%] (uM)
mPP-0117,2.486,2.486  [  2.195  -  2.804  ]
mPP-0087,7.843,7.843  [  7.447  -  8.296  ]
IAT-145,8.519,8.519  [  7.745  -  9.38  ]
mPP-0093,9.685,9.685  [  9.195  -  10.269  ]
mPP-0095,13.187,13.187  [  12.728  -  13.645  ]
mPP-0120,30.725,30.725  [  26.923  -  34.842  ]
mPP-0085,32.46,32.46  [  29.741  -  35.271  ]
mPP-0096,35.002,35.002  [  29.808  -  40.484  ]
mPP-0090,44.379,44.379  [  41.144  -  47.927  ]
mPP-0086,46.84,46.84  [  42.896  -  51.273  ]
mPP-0350,74.705,74.705  [  67.58  -  81.801  ]
mPP-0351,91.372,91.372  [  77.245  -  108.436  ]
mPP-0091,93.015,93.015  [  83.156  -  103.977  ]
mPP-0098,174.379,174.379  [  108.107  -  297.251  ]
mPP-0352,710.435,710.435  [  493.006  -  1019.522  ]
mPP-0080,,NA  [  NA  -  NA  ]
