Generic code,IC50,new IC50 [CI95%] (uM)
mPP-0398,13.71,13.71  [  12.607  -  14.892  ]
mPP-0397,18.238,18.238  [  17.295  -  19.209  ]
mPP-0395,33.66,33.66  [  31.885  -  35.566  ]
