Generic code,IC50,new IC50 [CI95%] (uM)
mPP-0268,6.041,6.041  [  3.744  -  9.223  ]
mPP-0284,13.926,13.926  [  12.56  -  15.439  ]
mPP-0281,14.722,14.722  [  13.137  -  16.371  ]
mPP-0282,17.766,17.766  [  15.993  -  19.598  ]
mPP-0267,22.485,22.485  [  18.544  -  26.714  ]
mPP-0279,27.28,27.28  [  23.431  -  31.457  ]
mPP-0283,29.613,29.613  [  23.004  -  37.4  ]
mPP-0280,34.587,34.587  [  30.289  -  39.109  ]
mPP-0270,38.112,38.112  [  24.357  -  59.523  ]
mPP-0285,38.124,38.124  [  32.14  -  45.264  ]
mPP-0278,48.045,48.045  [  44.195  -  52.331  ]
mPP-0269,48.913,48.913  [  29.224  -  76.545  ]
mPP-0080,,NA  [  NA  -  NA  ]
mPP-0273,,NA  [  NA  -  NA  ]
mPP-0274,,NA  [  NA  -  NA  ]
mPP-0272,,NA  [  NA  -  NA  ]
mPP-0275,,NA  [  NA  -  NA  ]
mPP-0276,,NA  [  NA  -  NA  ]
mPP-0277,,NA  [  NA  -  NA  ]
