Generic code,IC50,new IC50 [CI95%] (uM)
mPP-0398,58.757,58.757  [  49.579  -  69.234  ]
mPP-0397,75.8,75.8  [  34.573  -  127.504  ]
mPP-0395,136.72,136.72  [  113.88  -  164.207  ]
