"name.cmpd" "paper.name" "synth.name" "IC50" "IC50.low" "IC50.up" "SMILES"
"2011" "mPP-0282" NA "TL4-67" 17.7659250276145 15.99312946849 19.5984812307051 NA
"1106" "mPP-0267" NA "AKI-E121" 22.4847462753258 18.5437984722362 26.7137821091585 NA
"1311" "mPP-0279" NA "TL4-65" 27.2800857025236 23.4309262295717 31.4566246214822 NA
"1911" "mPP-0283" NA "LD1-31" 29.6132438663532 23.0037541470544 37.4000316785573 NA
"1511" "mPP-0280" NA "TL4-61" 34.5867348603028 30.2893072438404 39.1085738384315 NA
"513" "mPP-0270" NA "AKI-E115" 38.1124713720133 24.3572283273957 59.5229816224771 NA
"1811" "mPP-0285" NA "TL3-35" 38.1244866796674 32.139540780581 45.2641864224565 NA
"1211" "mPP-0278" NA "TL4-60" 48.044889814442 44.1950644602038 52.3307777786016 NA
"315" "mPP-0269" NA "AKI-E93" 48.9127678489035 29.2241278198338 76.5446335513194 NA
"415" "mPP-0080" NA "AKI XVIII7" NA NA NA NA
"613" "AKI-D187CI" NA "AKI-D187CI" NA NA NA NA
"713" "mPP-0273" NA "AKI-D41" NA NA NA NA
"812" "mPP-0274" NA "AKI-D159-3" NA NA NA NA
"912" "mPP-0272" NA "AKI-C181" NA NA NA NA
"1011" "mPP-0275" NA "AKI-D155" NA NA NA NA
"1111" "mPP-0276" NA "AKI-C75" NA NA NA NA
"1411" "mPP-0277" NA "AKI-C53" NA NA NA NA
"81" "mPP-0117" NA "IAT-120" 1.45586630878649 1.27924879899806 1.66392251322254 NA
"51" "mPP-0077" NA "TL2-73" 2.49035194451992 2.14505835590657 2.87007560314358 NA
"68" "mPP-0078" NA "AKIXVII103" 2.67483799571528 1.97504922295299 3.65255954403023 NA
"50" "mPP-0077" NA "TL2-73" 2.72624441573463 2.28444161318134 3.23624855589671 NA
"69" "mPP-0078" NA "AKIXVII103" 5.23937939496013 4.43113306745258 6.17134243731424 NA
"111" "mPP-0031" "11l" "MTI-73" 6.09966372471081 5.59326351568057 6.67358555312797 NA
"212" "mPP-0224" "12k" "NJ1-58" 6.93762298421541 6.19826948367241 7.78287119492955 NA
"64" "mPP-0084" NA "AKI XVIII3" 8.29356008518897 4.40238643165359 14.580993799561 NA
"57" "mPP-0082" NA "TL4-63" 9.30688354473764 7.96822030646396 10.6625098646736 NA
"53" "mPP-0083" NA "TL4-58" 9.38683739541714 8.10414257616781 10.8194453013717 NA
"76" "mPP-0120" NA "IAT-98-II" 9.45894343030409 6.9962029640507 12.3438773655803 NA
"61" "mPP-0079" NA "AKIXVII151" 9.58262386085287 7.2409397340851 12.146226002264 NA
"54" "mPP-0081" NA "TL4-66" 9.99436091537144 7.80442633294284 12.3966712114923 NA
"213" "mPP-0223" "12l" "NJ1-59" 10.0179563319801 7.46844812615926 13.404625862885 NA
"86" "mPP-0093" NA "AKI XVII167" 10.2791308233369 8.73398184010308 12.0582603185376 NA
"117" "mPP-0034" "11h" "MTI-79" 12.6542262106196 10.4701703134492 15.5861033606058 NA
"82" "mPP-0088" NA "AKI XVII31" 12.9208448901013 9.53553287799955 16.4602509815449 NA
"137" "mPP-0224" "12k" "NJ1-58" 13.4400335548569 11.7744810784167 15.3809490836578 NA
"85" "mPP-0087" NA "AKIXVIII31" 13.5428735541669 10.7749332531597 17.2556712899917 NA
"90" "mPP-0085" NA "IAT71" 14.3088593649234 12.5831073617529 16.1294636804531 NA
"58" "mPP-0082" NA "TL4-63" 14.6097995271042 13.1575206226605 16.1272271693802 NA
"156" "mPP-0187" NA "AKI A183" 14.6226112126295 12.2134895493887 17.5819124900711 NA
"77" "IAT-145" NA "IAT-145" 14.6231410751143 11.004997440221 18.394068709414 NA
"1912" "mPP-0068" "SI-54" "Amb587" 17.3778720247324 15.2727986934732 19.423810677672 NA
"159" "mPP-0189" NA "TL2-68" 18.6297370465328 15.9869817358087 21.6693604567094 NA
"132" "mPP-0134" NA "RA-B55+71" 19.1787530556155 11.5505135353569 32.4259089145171 NA
"79" "mPP-0098" NA "IAT-40" 21.1699306189248 14.7425946148966 27.9326202114803 NA
"124" "mPP-0026" "11k" "MTI-55" 22.213488161092 16.296348665025 30.6370712348589 NA
"88" "mPP-0095" NA "IAT-31-II" 23.2257792833027 17.6358556916793 29.4097902335404 NA
"121" "mPP-0026" "11k" "MTI-55" 23.8595875560003 20.1296332169487 27.6304692961922 NA
"180" "mPP-0168" NA "IM-M60" 24.1247819736207 16.4591502029089 36.2318407594019 NA
"157" "mPP-0188" NA "TL2-74" 24.5324140393762 14.0916307987744 77.1789274201213 NA
"78" "mPP-0086" NA "IAT-127" 28.5932564272369 16.7281064145643 45.1124181542357 NA
"913" "mPP-0045" "SI-19" "Amb891" 29.1132882315725 24.5721427040677 33.6677001300505 NA
"165" "AKI-157" NA "AKI-157" 30.5900863520309 23.446130603087 38.6563882215885 NA
"66" "mPP-0091" NA "AKIXVIII1" 30.9283755250616 23.223839918861 39.9253782677984 NA
"99" "mPP-0023" "11b" "MTI35" 35.4944935930168 25.6976409802101 50.2821200374343 NA
"1012" "mPP-0046" "7" "Amb898" 35.6202604132966 25.5079449389511 46.865188282589 NA
"60" "mPP-0094" NA "TL4-18" 35.8391382075409 27.5766288434049 45.2402817416421 NA
"120" "mPP-0025" "SI-39" "MTI-47" 38.5163884545333 19.5312705048043 101.064582511128 NA
"197" "mPP-0215" "17" "Amb777" 39.4531805704575 37.879989505601 41.1214780796423 NA
"108" "mPP-0028" "5" "MTI-61" 41.0784962082465 32.743169880244 51.6208607158149 NA
"100" "mPP-0001" "2" "C1" 42.62153170322 33.5115216683222 52.7559717092039 NA
"164" "mPP-0180" NA "AKI-B1" 45.5758653063572 31.7214502141029 63.0589374536093 NA
"138" "mPP-0223" "12l" "NJ1-59" 46.3783519661475 35.7836007202478 59.5217558899599 NA
"203" "mPP-0221" "18" "Amb535" 46.605822406442 45.3088570051325 47.8498611587789 NA
"189" "mPP-0207" "19" "Amb486" 47.2720092417863 41.5286892809869 53.1562017720263 NA
"109" "mPP-0029" "11d" "MTI-69" 48.7649168115688 47.8300271855078 49.6279613676273 NA
"170" "AKI-A195A" NA "AKI-A195A" 56.5434950426542 32.9148877978672 89.781633620284 NA
"2012" "mPP-0069" NA "Amb506" 56.6955440146713 49.0888503524877 64.6528159960334 NA
"813" "mPP-0044" "SI-31" "Amb884" 58.0457131266522 43.6542719474508 75.1647285774246 NA
"87" "mPP-0090" NA "AKI XVIII55" 59.8922102758255 36.4490139074041 101.190732775528 NA
"74" "mPP-0099" NA "RPI-191" 65.8852809791017 48.1491482886625 86.6396913793132 NA
"80" "IAT-93" NA "IAT-93" 68.7060357666543 34.6057617371578 127.313216448049 NA
"102" "mPP-0007" "1" "C7" 70.8256215670069 50.6128593253676 95.9301880801724 NA
"214" "mPP-0154" "10l" "NJ1-27" 72.433132465923 64.0647207085358 81.9309994946637 NA
"135" "AKI XVIII181" NA "AKI XVIII181" 75.4519204157171 28.0231627683671 221.812622688145 NA
"188" "mPP-0206" "16" "Amb928" 80.3613982116262 66.3228294814645 96.3888320477906 NA
"190" "mPP-0208" "20" "Amb838" 91.4332551599336 75.97083289959 109.713809123993 NA
"199" "mPP-0217" "21" "Amb717" 100.570965466541 74.7328341492841 137.133561435704 NA
"36" "mPP-0053" NA "Amb224" 101.457118355645 89.6245972311013 114.472360401087 NA
"127" "mPP-0129" NA "AKI XVIII195" 103.621558137575 56.4483147522734 191.55921571158 NA
"67" "mPP-0103" NA "RA-A111" 110.341745391601 33.8036422587027 380.053750373 NA
"107" "mPP-0012" "3" "C12" 111.226719853348 65.9862674943741 176.463543676116 NA
"714" "mPP-0043" "SI-32" "Amb879" 121.80557584344 80.2107343428002 184.099509363985 NA
"83" "mPP-0022" "4" "C22" 123.050648415796 43.1379854289163 348.009258152011 NA
"151" "mPP-0151" "13" "NJ1-32" 134.865433821912 85.2654168763729 220.173493143124 NA
"91" "mPP-0096" NA "IAT-72" 139.770229783648 70.7703066073107 375.583626464306 NA
"163" "AKI-A81" NA "AKI-A81" 148.230675249041 94.3078554684457 232.181309144381 NA
"614" "mPP-0042" "SI-29" "Amb874" 180.211163983028 130.394721205996 244.991319700656 NA
"191" "mPP-0209" "22" "Amb736" 211.323479016071 170.003323108146 259.646318266126 NA
"271" "mPP-0036" NA "Amb244" 222.872016656226 149.705089182101 328.571114742228 NA
"169" "mPP-0185" NA "AKI-A151" 227.703904698248 67.6510488974987 813.233353405143 NA
"251" "mPP-0074" "SI-17" "Amb377" 239.701898726961 138.110426762467 449.093555775226 NA
"241" "mPP-0073" "SI-33" "Amb370" 280.087369486713 173.123822023307 452.08437342152 NA
