"name.cmpd" "synth.name" "IC50" "IC50.low" "IC50.up" "SMILES"
"mPP-0109" "LKE101" NA NA NA NA
"mPP-0110" "LKE21" NA NA NA NA
"mPP-0107" "LKE61" NA NA NA NA
"mPP-0102" "TL4-31" NA NA NA NA
"mPP-0100" "TL4-50.2" NA NA NA NA
"mPP-0101" "CB-21" NA NA NA NA
"mPP-0108" "CB-26" NA NA NA NA
"mPP-0106" "MV-I-25" NA NA NA NA
"mPP-0113" "PKII-52" NA NA NA NA
"mPP-0097" "TL4-32" NA NA NA NA
"mPP-0115" "TL4-28" NA NA NA NA
"mPP-0104" "TL4-30.2" NA NA NA NA
"mPP-0094" "TL4-18" NA NA NA NA
"mPP-0114" "AKIXVI123" NA NA NA NA
"mPP-0118" "AKIXIII85" NA NA NA NA
"mPP-0119" "AKIXIV165" NA NA NA NA
"mPP-0103" "RA-A111" NA NA NA NA
"mPP-0112" "AKIXII33" NA NA NA NA
"mPP-0121" "RPI-149" NA NA NA NA
"mPP-0122" "RPI-155" NA NA NA NA
"mPP-0116" "RPI-175" NA NA NA NA
"mPP-0099" "RPI-191" NA NA NA NA
"mPP-0111" "RPII-015" NA NA NA NA
"mPP-0086" "IAT-127" NA NA NA NA
"mPP-0098" "IAT-40" NA NA NA NA
"IAT-93" "IAT-93" NA NA NA NA
"mPP-0022" "C22" NA NA NA NA
"mPP-0080" "AKIXVIII7" NA NA NA NA
"mPP-0090" "AKI XVIII55" NA NA NA NA
"mPP-0095" "IAT-31-II" NA NA NA NA
"IAT-39-II" "IAT-39-II" NA NA NA NA
"mPP-0096" "IAT-72" NA NA NA NA
"mPP-0013" "C13" NA NA NA NA
"mPP-0015" "C15" NA NA NA NA
"mPP-0016" "C16" NA NA NA NA
"mPP-0017" "C17" NA NA NA NA
"mPP-0018" "C18" NA NA NA NA
"mPP-0019" "C19" NA NA NA NA
"mPP-0020" "C20" NA NA NA NA
"mPP-0006" "C6" NA NA NA NA
"mPP-0007" "C7" NA NA NA NA
"mPP-0008" "C8" NA NA NA NA
"mPP-0009" "C9" NA NA NA NA
"mPP-0010" "C10" NA NA NA NA
"mPP-0011" "C11" NA NA NA NA
"mPP-0012" "C12" NA NA NA NA
"mPP-0030" "MTI-71" NA NA NA NA
"mPP-0030" "DAP-06" NA NA NA NA
"mPP-0032" "MTI-75" NA NA NA NA
"mPP-0033" "MTI-77" NA NA NA NA
"mPP-0252" "MTI-39" NA NA NA NA
"mPP-0024" "MTI-43" NA NA NA NA
"mPP-0024" "DAP-21" NA NA NA NA
"NJ-35" "NJ-35" NA NA NA NA
"NJ-35" "NJ-35" NA NA NA NA
"NJ-35" "NJ-35" NA NA NA NA
"mPP-0027" "MTI-59" NA NA NA NA
"mPP-0129" "AKI XVIII195" NA NA NA NA
"mPP-0130" "AKI-A17" NA NA NA NA
"mPP-0131" "AKI-A41" NA NA NA NA
"mPP-0132" "AKI-A55" NA NA NA NA
"mPP-0133" "RA-B87+89" NA NA NA NA
"mPP-0135" "RA-B51+57" NA NA NA NA
"AKI XVIII129" "AKI XVIII129" NA NA NA NA
"AKI XVIII181" "AKI XVIII181" NA NA NA NA
"mPP-0138" "RA-B23+91" NA NA NA NA
"mPP-0159" "DAP-10a" NA NA NA NA
"mPP-0160" "DAP-10b" NA NA NA NA
"mPP-0161" "DAP-13" NA NA NA NA
"mPP-0162" "DAP-16" NA NA NA NA
"mPP-0163" "DAP-02" NA NA NA NA
"mPP-0164" "DAP-14" NA NA NA NA
"NJ1-4" "NJ1-4" NA NA NA NA
"mPP-0147" "NJ1-31" NA NA NA NA
"mPP-0148" "NJ1-19" NA NA NA NA
"mPP-0149" "NJ1-20" NA NA NA NA
"mPP-0150" "NJ1-21" NA NA NA NA
"mPP-0151" "NJ1-32" NA NA NA NA
"mPP-0152" "NJ1-24" NA NA NA NA
"mPP-0153" "NJ1-26" NA NA NA NA
"AIM A085CA" "AIM A085CA" NA NA NA NA
"mPP-0188" "TL2-74" NA NA NA NA
"TL2-58" "TL2-58" NA NA NA NA
"mPP-0191" "TL2-41" NA NA NA NA
"mPP-0177" "AKI-A133" NA NA NA NA
"mPP-0178" "AKI-A141" NA NA NA NA
"AKI-A81" "AKI-A81" NA NA NA NA
"mPP-0180" "AKI-B1" NA NA NA NA
"AKI-157" "AKI-157" NA NA NA NA
"AKI-179" "AKI-179" NA NA NA NA
