"name.cmpd" "paper.name" "synth.name" "IC50" "IC50.low" "IC50.up" "SMILES"
"mPP-0259" "11i" "NJ2-6" 19560.7611520297 17097.0056004507 22324.1962406277 "O=C(OC1=C(Br)C=CC=C1)C2=NOC(C3=CC=C([N+]([O-])=O)C=C3)=C2"
"mPP-0026" "10l" "MTI-55" 22213.6113131991 16374.71369498 30394.5508195577 "CC1=CC(C)=CC(C2=CC(C(O)=O)=NO2)=C1"
"mPP-0026" "10l" "MTI-55" 23873.4703880996 20306.1184395595 27792.0391897018 "CC1=CC(C)=CC(C2=CC(C(O)=O)=NO2)=C1"
"mPP-0168" NA "IM-M60" 24024.7714676779 16493.1597312871 35968.6403287918 "O=C(C1=CC=C(Cl)C=C1)C[N+]2=CN(CC3=NC(COC4=CC(C(C)=O)=CC(OC[C-]5=[C+]C=CC(CN6C=[N+](CC(C7=CC=C(Cl)C=C7)=O)C8=C6C=CC=C8)=N5)=C4)=CC=C3)C9=C2C=CC=C9.[Br-].[Br-]"
"mPP-0260" "7" "NJ2-7" 25594.815768622 17953.512217952 41302.3760046278 "CC1=CC(C2=CC(C(OC3=CC=CC=C3)=O)=NO2)=CC(C)=C1"
"mPP-0045" NA "Amb891" 29112.6094461285 24629.0580373294 33737.7156094223 "CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(NC3C(C=CC=C4)=C4CCC3)=O)=C2)=C1)=O"
"mPP-0091" NA "AKIXVIII1" 30911.5920816971 23053.8943023768 39843.8572291402 "O=C1C(C(F)(F)F)=CC2=C3C1=C(N)C(C)=C3C=C(C(C)C)C=C2"
"mPP-0046" "19" "Amb898" 35573.6412630088 25389.5489098721 47198.185121259 "CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(NC3=CC=C4OCOC4=C3)=O)=C2)=C1)=O"
"mPP-0023" "10b" "MTI35" 37200.1819504901 27476.127729069 50214.9496918144 "O=C(O)C1=NOC(C2=C(C(O)=O)C=CC=C2)=C1"
"mPP-0023" "10b" "DAP-23" NA NA NA "O=C(O)C1=NOC(C2=C(C(O)=O)C=CC=C2)=C1"
