"name.cmpd" "synth.name" "IC50" "IC50.low" "IC50.up" "SMILES"
"mPP-0168" "IM-M60" 24024.7714676779 16220.4544521868 35840.2414281231 "O=C(C1=CC=C(Cl)C=C1)C[N+]2=CN(CC3=NC(COC4=CC(C(C)=O)=CC(OC[C-]5=[C+]C=CC(CN6C=[N+](CC(C7=CC=C(Cl)C=C7)=O)C8=C6C=CC=C8)=N5)=C4)=CC=C3)C9=C2C=CC=C9.[Br-].[Br-]"
"mPP-0260" "NJ2-7" 25594.815768622 17796.8718372375 41538.9079749132 NA
"mPP-0045" "Amb891" 29112.6094461285 24606.5620064927 33767.6893738237 "CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(NC3C(C=CC=C4)=C4CCC3)=O)=C2)=C1)=O"
"mPP-0091" "AKIXVIII1" 30911.5920816971 23020.6674375235 40318.8755729484 "O=C1c(C(F)(F)F)cc(cCC(C2)C(C)C)c3c2c(c(N)c13)C"
"mPP-0046" "Amb898" 35573.6412630088 25344.0799962747 47418.6912083282 "CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(NC3=CC=C4OCOC4=C3)=O)=C2)=C1)=O"
"mPP-0023" "MTI35" 37200.1819504901 27332.4743479471 50004.8201835371 "O=C(O)C1=NOC(C2=C(C(O)=O)C=CC=C2)=C1"
"mPP-0023" "DAP-23" NA NA NA "O=C(O)C1=NOC(C2=C(C(O)=O)C=CC=C2)=C1"
"mPP-0025" "MTI-47" 38404.2996650182 19566.2657954758 100635.090545317 "O=C(O)C1=NOC(C2=C(C(O)=O)C=C([N+]([O-])=O)C=C2)=C1"
"mPP-0025" "NJ1-98" NA NA NA NA
"mPP-0215" "Amb777" 39417.5094887457 37786.6960220038 41081.6953660529 "CC(C)(C)C1=CC(C(NC2=NC=CS2)=O)=CC(C(C)(C)C)=C1"
"mPP-0028" "MTI-61" 41078.4252615035 32596.7593667284 51970.0999850442 "CC1=NC(C2=CC(C(O)=O)=NO2)=CS1"
"mPP-0001" "C1" 42477.2243194854 32820.0066028129 52695.3766826691 "OCCS(=O)(c1cc(OC(N2)=O)c2cc1)=O"
