"name.cmpd" "synth.name" "IC50" "IC50.low" "IC50.up"
"mPP-0117" "IAT-120" NA NA NA
"mPP-0022" "C22" NA NA NA
"mPP-0013" "C13" NA NA NA
"mPP-0015" "C15" NA NA NA
"mPP-0016" "C16" NA NA NA
"mPP-0017" "C17" NA NA NA
"mPP-0018" "C18" NA NA NA
"mPP-0019" "C19" NA NA NA
"mPP-0020" "C20" NA NA NA
"mPP-0006" "C6" NA NA NA
"mPP-0007" "C7" NA NA NA
"mPP-0008" "C8" NA NA NA
"mPP-0009" "C9" NA NA NA
"mPP-0010" "C10" NA NA NA
"mPP-0011" "C11" NA NA NA
"mPP-0012" "C12" NA NA NA
"mPP-0030" "MTI-71" NA NA NA
"mPP-0031" "NJ1-33" NA NA NA
"mPP-0031" "NJ1-39" NA NA NA
"mPP-0031" "NJ1-39" NA NA NA
"mPP-0032" "MTI-75" NA NA NA
"mPP-0033" "MTI-77" NA NA NA
"mPP-0252" "MTI-39" NA NA NA
"mPP-0024" "MTI-43" NA NA NA
"NJ-35" "NJ-35" NA NA NA
"NJ-35" "NJ-35" NA NA NA
"NJ-35" "NJ-35" NA NA NA
"mPP-0027" "MTI-59" NA NA NA
"mPP-0129" "AKI XVIII195" NA NA NA
"mPP-0130" "AKI-A17" NA NA NA
"mPP-0131" "AKI-A41" NA NA NA
"mPP-0132" "AKI-A55" NA NA NA
"mPP-0133" "RA-B87+89" NA NA NA
"mPP-0135" "RA-B51+57" NA NA NA
"AKI XVIII129" "AKI XVIII129" NA NA NA
"AKI XVIII181" "AKI XVIII181" NA NA NA
"mPP-0138" "RA-B23+91" NA NA NA
"mPP-0030" "DAP-06" NA NA NA
"mPP-0159" "DAP-10a" NA NA NA
"mPP-0160" "DAP-10b" NA NA NA
"mPP-0161" "DAP-13" NA NA NA
"mPP-0162" "DAP-16" NA NA NA
"mPP-0163" "DAP-02" NA NA NA
"mPP-0164" "DAP-14" NA NA NA
"NJ1-4" "NJ1-4" NA NA NA
"mPP-0147" "NJ1-31" NA NA NA
"mPP-0148" "NJ1-19" NA NA NA
"mPP-0149" "NJ1-20" NA NA NA
"mPP-0150" "NJ1-21" NA NA NA
"mPP-0151" "NJ1-32" NA NA NA
"mPP-0152" "NJ1-24" NA NA NA
"mPP-0153" "NJ1-26" NA NA NA
"mPP-0154" "NJ1-27" NA NA NA
"AIM A085CA" "AIM A085CA" NA NA NA
"mPP-0188" "TL2-74" NA NA NA
"TL2-58" "TL2-58" NA NA NA
"mPP-0191" "TL2-41" NA NA NA
"mPP-0177" "AKI-A133" NA NA NA
"mPP-0178" "AKI-A141" NA NA NA
"AKI-A81" "AKI-A81" NA NA NA
"mPP-0180" "AKI-B1" NA NA NA
"AKI-157" "AKI-157" NA NA NA
"AKI-179" "AKI-179" NA NA NA
"mPP-0183" "AKI-A63" NA NA NA
"mPP-0184" "AKI-A111" NA NA NA
"mPP-0185" "AKI-A151" NA NA NA
"AKI-A195A" "AKI-A195A" NA NA NA
"NJI-28" "NJI-28" NA NA NA
"NJI-38" "NJI-38" NA NA NA
"NJI-30" "NJI-30" NA NA NA
"NJI-35" "NJI-35" NA NA NA
"NJI1-36,37" "NJI1-36,37" NA NA NA
"NJI-33,39" "NJI-33,39" NA NA NA
"mPP-0166" "IM - M2" NA NA NA
"mPP-0165" "IM - M1" NA NA NA
"mPP-0167" "IM-M4" NA NA NA
"mPP-0169" "IM-M7" NA NA NA
"mPP-0170" "IM-M54" NA NA NA
"mPP-0171" "IMT49" NA NA NA
"mPP-0172" "IMT-30" NA NA NA
"mPP-0173" "IMT32" NA NA NA
"IM A07ICA" "IM A07ICA" NA NA NA
"mPP-0205" "Amb929" NA NA NA
"mPP-0206" "Amb928" NA NA NA
"mPP-0208" "Amb838" NA NA NA
"mPP-0209" "Amb736" NA NA NA
"mPP-0210" "Amb194" NA NA NA
"mPP-0211" "Amb753" NA NA NA
"mPP-0212" "Amb139" NA NA NA
"mPP-0213" "Amb841" NA NA NA
"mPP-0214" "Amb497" NA NA NA
"mPP-0216" "Amb586" NA NA NA
"mPP-0217" "Amb717" NA NA NA
"mPP-0218" "Amb954" NA NA NA
"mPP-0219" "Amb355" NA NA NA
"mPP-0220" "Amb509" NA NA NA
"mPP-0222" "Amb684" NA NA NA
"mPP-0029" "DAP-19" NA NA NA
"mPP-0024" "DAP-21" NA NA NA
"mPP-0023" "DAP-23" NA NA NA
"AKI-B31" "AKI-B31" NA NA NA
"mPP-0225" "AKI-B93" NA NA NA
"mPP-0227" "AKI-B129" NA NA NA
"mPP-0233" "AKI-B169" NA NA NA
